Family,Size,Method,Task,Quantization,Model_Name,Raw_Score,Normalized_Score_0_1,Energy_per_Req_J,IPW,Power_Avg_W,Throughput_tokens_s
Llama,1B,QLoRA,chat,INT4,EkcupKadakChai/Llama-1B_QLoRA_INT4_chat-MERGED,6.699999999999999,0.6699999999999999,1.5569,0.430342346971546,74.78,4803.17
Llama,1B,LoRA,chat,INT4,EkcupKadakChai/Llama-1B_LoRA_FP16_chat-INT4,6.688333333333333,0.6688333333333333,1.4916,0.448399928488424,73.55,4930.8
Llama,7B,LoRA,chat,FP16,EkcupKadakChai/Llama-7B_LoRA_FP16_chat-FP16,7.691666666666666,0.7691666666666667,13.7252,0.056040470569949194,139.96,1019.73
Llama,7B,LoRA,rag,INT8,EkcupKadakChai/Llama-7B_LoRA_FP16_rag-INT8,0.7399999999999999,0.7399999999999999,12.1051,0.061131258725661074,110.4,1368.02
Llama,7B,LoRA,rag,INT4,EkcupKadakChai/Llama-7B_LoRA_FP16_rag-INT4,0.7333333333333334,0.7333333333333334,8.569099999999999,0.08557880446410165,96.1,1682.2
Llama,1B,LoRA,rag,FP16,EkcupKadakChai/Llama-1B_LoRA_FP16_rag-FP16,0.7416666666666667,0.7416666666666667,6.4963,0.11416755178588839,88.94,2053.62
Llama,1B,QLoRA,rag,INT4,EkcupKadakChai/Llama-1B_QLoRA_INT4_rag-MERGED,0.7416666666666666,0.7416666666666666,2.8709,0.2583394289827812,73.67,3849.12
Llama,1B,LoRA,rag,INT4,EkcupKadakChai/Llama-1B_LoRA_FP16_rag-INT4,0.7516666666666666,0.7516666666666666,2.3621,0.31821966329396156,66.62,4230.52
Llama,7B,LoRA,rag,FP16,EkcupKadakChai/Llama-7B_LoRA_FP16_rag-FP16,0.7400000000000001,0.7400000000000001,22.1581,0.033396365211818706,130.51,883.49
Llama,7B,LoRA,summ,INT8,EkcupKadakChai/Llama-7B_LoRA_FP16_summ-INT8,0.92,0.92,18.9621,0.048517832940444365,122.3,1289.94
Llama,7B,LoRA,summ,INT4,EkcupKadakChai/Llama-7B_LoRA_FP16_summ-INT4,0.9283333333333332,0.9283333333333332,12.8005,0.07252320872882569,98.2,1534.32
Llama,1B,LoRA,summ,FP16,EkcupKadakChai/Llama-1B_LoRA_FP16_summ-FP16,0.765,0.765,9.3809,0.08154867869820592,97.21,2072.52
Llama,1B,QLoRA,summ,INT4,EkcupKadakChai/Llama-1B_QLoRA_INT4_summ-MERGED,0.79,0.79,3.4210000000000003,0.230926629640456,70.43,4117.55
Llama,1B,LoRA,summ,INT4,EkcupKadakChai/Llama-1B_LoRA_FP16_summ-INT4,0.7633333333333333,0.7633333333333333,3.3278,0.22938077208165555,67.48,4055.57
Llama,7B,LoRA,summ,FP16,EkcupKadakChai/Llama-7B_LoRA_FP16_summ-FP16,0.91,0.91,34.7929,0.026154761459953036,137.11,788.15
Llama,3B,LoRA,chat,FP16,EkcupKadakChai/Llama-3B_LoRA_FP16_chat-FP16,7.586666666666666,0.7586666666666666,7.2923,0.10403667795711458,111.7,1531.75
Llama,3B,QLoRA,chat,INT4,EkcupKadakChai/Llama-3B_QLoRA_INT4_chat-MERGED,7.675,0.7675,3.1346,0.24484782747399989,88.25,2815.36
Llama,3B,LoRA,chat,INT8,EkcupKadakChai/Llama-3B_LoRA_FP16_chat-INT8,7.658333333333334,0.7658333333333334,5.0609,0.15132354587787417,108.08,2135.58
Llama,3B,LoRA,chat,INT4,EkcupKadakChai/Llama-3B_LoRA_FP16_chat-INT4,7.576666666666667,0.7576666666666667,2.8331,0.2674337886649489,80.63,2846.03
Llama,1B,LoRA,chat,INT8,EkcupKadakChai/Llama-1B_LoRA_FP16_chat-INT8,7.276666666666666,0.7276666666666667,2.3545,0.3090535853330502,83.14,3531.04
Llama,7B,QLoRA,chat,INT4,EkcupKadakChai/Llama-7B_QLoRA_INT4_chat-MERGED,7.725,0.7725,5.7358,0.13468042818787265,105.64,1841.78
